chapter, heading, subheading, description
23,2302,230210,BRAN SHARPS & OTH RESIDUES DERIVED FRM MILLNG CORN
23,2302,230230,BRAN SHARPS & OTH RESIDUE DERIVED FRM MILLNG WHEAT
23,2302,230240,BRAN SHARPS & RESIDUE DERV FRM MILLNG CEREAL NESOI
23,2302,230250,BRAN SHARPS RESIDUE FRM MILLING LEGUMINOUS PLANTS
23,2303,230310,RESIDUES OF STARCH MFR AND SIMILAR RESIDUES
23,2303,230320,"BEET-PULP, BAGASSE AND OTHER WASTE OF SUGAR MFR"
23,2303,230330,"BREWING OR DISTILLING DREGS AND WASTE, W/NT PELLET"
23,2304,230400,"SOYBEAN OILCAKE & OTH SOLID RESIDUE, WH/NOT GROUND"
23,2305,230500,"PEANUT OILCAKE & OTH SOLID RESIDUE, WH/NOT GROUND"
23,2306,230610,COTTON SEED OILCAKE & OTH SOLID RESIDUE W/N GROUND
23,2306,230620,LINSEED OILCAKE AND OTH SOLID RESIDUES W/NT GROUND
23,2306,230630,SUNFLOWER SEED OILCAKE & OTH SOLID RESIDUE W/N GRD
23,2306,230641,RAPE/COLZA SEED OILCAKE&SOLID RES. LOW ERUCIC ACID
23,2306,230649,"RAPE/COLZA SEED OILCAKE/SLD RESIDUES, NESOI"
23,2306,230650,COCONUT OR COPRA OILCAKE & SOLID RESIDUE W/NT GRND
23,2306,230660,PALM NUT OR KERNEL OILCAKE & SOLID RESIDUE W/N GRD
23,2306,230690,OILCAKE ETC. FROM VEGETABLE FATS AND OILS NESOI
23,2307,230700,WINE LEES; ARGOL
23,2308,230800,"VEG MATERIALS, WASTES ETC FOR ANIMAL FEED NESOI"
23,2309,230910,"DOG AND CAT FOOD, PUT UP FOR RETAIL SALE"
23,2309,230990,"ANIMAL FEED PREP EXCEPT DOG OR CAT FOOD, RETAIL PK"
24,2401,240110,"TOBACCO, NOT STEMMED/STRIPPED"
24,2401,240120,"TOBACCO, PARTLY OR WHOLLY STEMMED/STRIPPED"
24,2401,240130,TOBACCO REFUSE (WASTE)
24,2402,240210,"CIGARS, CHEROOTS & CIGARILLOS, CONTAINING TOBACCO"
24,2402,240220,CIGARETTES CONTAINING TOBACCO
24,2402,240290,CIGAR/CHEROOT/CIGARILLO/CIGS OF TOB SUBSTITS NESOI
24,2403,240311,WATER PIPE TOBACCO SPECIFIED SUBHEAD NOTE 1 CH 24
24,2403,240319,SMOKING TOBACCO W/ OR W/O TOBACCO SUBSTITUTE NESOI
24,2403,240391,HOMOGENIZED OR RECONSTITUTED TOBACCO
24,2403,240399,MFR TOBACCO & SUBSTITUTES NESOI; TOBACCO EXTR ETC.
25,2501,250100,"SALT INCL TBL/DENTRD, PURE SODM CHLOR ETC; SEA WTR"
25,2502,250200,UNROASTED IRON PYRITES
25,2503,250300,"SULFUR OF ALL KINDS, NOT SUBLIMED,PRECIP,COLLOIDAL"
25,2504,250410,NATURAL GRAPHITE IN POWDER OR IN FLAKES
25,2504,250490,NATURAL GRAPHITE EXCEPT POWDER OR FLAKES
25,2505,250510,"SILICA SANDS AND QUARTZ SANDS, NATURAL"
25,2505,250590,"SANDS, NATURAL, NESOI"
25,2506,250610,QUARTZ (OTHER THAN NATURAL SANDS)
25,2506,250620,QUARTZITE
25,2507,250700,"KAOLIN AND OTHER KAOLINIC CLAYS, INCL CALCINED"
25,2508,250810,"BENTONITE, INCLUDING CALCINED"
25,2508,250830,FIRE CLAY INCLUDING CALCINED
25,2508,250840,"CLAYS NESOI, INCLUDING BALL CLAYS, INCL CALCINED"
25,2508,250850,"ANDALUSITE, KYANITE AND SILLIMANITE, INC CALCINED"
25,2508,250860,MULLITE
25,2508,250870,CHAMOTTE OR DINAS EARTH
25,2509,250900,CHALK
25,2510,251010,"UNGRND NAT CAL PHSPH, ALUM CAL PHOS A PHOS CHALK"
25,2510,251020,"NAT CAL PHOS, NAT AL CAL PHOS A PHOS CHLK, GROUND"
25,2511,251110,NATURAL BARIUM SULFATE (BARYTES)
25,2511,251120,NATURAL BARIUM CARBONATE (WITHERITE)
25,2512,251200,SILICEOUS FSSL MLS A ERTHS W SPEC GRAV OF 1 O LSS
25,2513,251310,PUMICE STONE
25,2513,251320,"EMERY, NATURAL CORUNDUM & OTHER NATURAL ABRASIVES"
25,2514,251400,"SLATE, CRUDE OR ROUGHLY TRIMMED"
25,2515,251511,"MARBLE AND TRAVERTINE, CRUDE OR ROUGHLY TRIMMED"
25,2515,251512,MARBLE AND TRAVERTINE CUT IN BLOCKS OR SLABS
25,2515,251520,CALCRS MNMTL OR BLDG STONE NESOI; ALABASTER
25,2516,251611,"GRANITE, CRUDE OR ROUGHLY TRIMMED"
25,2516,251612,"GRANITE, CUT INTO BLOCKS OR SLABS"
25,2516,251620,SANDSTONE
25,2516,251690,"BASALT, PORPHYRY AND OTHER MNMNTL OR BLDG STONE"
25,2517,251710,"PEBBLES, GRAVEL ETC. FOR CONCRETE AGGREGATES ETC."
25,2517,251720,"MACADAM OF SLAG, DROSS OR SIMILAR IND WASTE"
25,2517,251730,TARRED MACADAM
25,2517,251741,"MARBLE GRANULES, CHIPPINGS AND POWDER"
25,2517,251749,"STONE GRANULES, CHIPPINGS A PWDRS (EX MRBL) NESOI"
25,2518,251810,DOLOMITE NOT CALCINED
25,2518,251820,CALCINED DOLOMITE
25,2518,251830,AGGLOMERATED DOLOMITE (INCLUDING TARRED DOLOMITE)
25,2519,251910,NATURAL MAGNESIUM CARBONATE
25,2519,251990,FUSED MAGNESIA; DEAD-BURN MAGNESIA; MAGNESIA NESOI
25,2520,252010,GYPSUM; ANHYDRITE
25,2520,252020,PLASTERS CONSTNG OF CALCND GYPSUM OR CALCM SULFATE
25,2521,252100,"LMESTN FLUX; LMSTN A OTH CAL STO USD MFR LIME, CMT"
25,2522,252210,QUICKLIME
25,2522,252220,SLAKED LIME
25,2522,252230,HYDRAULIC LIME
25,2523,252310,CEMENT CLINKERS
25,2523,252321,WHITE PORTLAND CEMENT WHTHR OR NT ART COLORED
25,2523,252329,PORTLAND CEMENT EXCEPT WHITE PORTLAND CEMENT
25,2523,252330,ALUMINOUS CEMENT
25,2523,252390,"HYDRAULIC CEMENTS, NESOI"
25,2524,252410,CROCIDOLITE ASBESTOS
25,2524,252490,"ASBESTOS, EXCLUDING CROCIDOLITE"
25,2525,252510,CRUDE MICA AND MICA RIFTED INTO SHEETS OR SPLTTNGS
25,2525,252520,MICA POWDER
25,2525,252530,MICA WASTE
25,2526,252610,"NATURAL STEATITE AND TALC, NT CRSHD, NT PWDRD"
25,2526,252620,"NATURAL STEATITE AND TALC, CRUSHED OR POWDERED"
25,2528,252800,NATURAL BORATES & CONCENTR; NATURAL BORIC ACID ETC
25,2529,252910,FELDSPAR
25,2529,252921,FLUORSPAR CONTNG BY WGHT 97% OR UNDER CALCM FLUORD
25,2529,252922,FLUORSPAR OV 97% OF CALCIUM FLUORD BY WGHT
25,2529,252930,LEUCITE; NEPHELINE AND NEPHELINE SYENITE
25,2530,253010,"VERMICULITE, PERLITE AND CHLORITES, UNEXPANDED"
25,2530,253020,"KIESERITE, EPSOM SALTS (NATURAL MAGNESIUM SULFATE)"
25,2530,253090,MINERAL SUBSTANCES NESOI
26,2601,260111,IRON ORE CONCEN NESOI & NON-AGGLOMERATED IRON ORES
26,2601,260112,AGGLOMERATED IRON ORES
26,2601,260120,ROASTED IRON PYRITES
26,2602,260200,MANGANESE ORES A CONCNTRTS INC FERR MANGN IRON ORE
26,2603,260300,COPPER ORES AND CONCENTRATES
26,2604,260400,NICKEL ORES AND CONCENTRATES
26,2605,260500,COBALT ORES AND CONCENTRATES
26,2606,260600,ALUMINUM ORES AND CONCENTRATES
26,2607,260700,LEAD ORES AND CONCENTRATES
26,2608,260800,ZINC ORES AND CONCENTRATES
26,2609,260900,TIN ORES AND CONCENTRATES
26,2610,261000,CHROMIUM ORES AND CONCENTRATES
26,2611,261100,TUNGSTEN ORES AND CONCENTRATES
26,2612,261210,URANIUM ORES AND CONCENTRATES
26,2612,261220,THORIUM ORES AND CONCENTRATES
26,2613,261310,MOLYBDENUM ORES AND CONCENTRATES ROASTED
26,2613,261390,MOLYBDENUM ORES AND CONCENTRATES NOT ROASTED
26,2614,261400,TITANIUM ORES AND CONCENTRATES
26,2615,261510,ZIRCONIUM ORES AND CONCENTRATES
26,2615,261590,"NIOBIUM, TANTALUM & VANADIUM ORES & CONCENTRATES"
26,2616,261610,SILVER ORES AND CONCENTRATES
26,2616,261690,"PRECIOUS METAL ORES & CONCENTRATES, EXCEPT SILVER"
26,2617,261710,ANTIMONY ORES AND CONCENTRATES
26,2617,261790,"ORES AND CONCENTRATES, NESOI"
26,2618,261800,GRANULATED SLAG FR IRON OR STEEL MANUFACTURE
26,2619,261900,"SLAG, DROSS, SCALINGS A OTH WASTE FRM MANU IRN/STL"
26,2620,262011,HARD ZINC SPELTER
26,2620,262019,"ASH AND RESIDUES, MAINLY ZINC EXC HARD ZINC SPLTER"
26,2620,262021,ASHES/RESIDUES OF LEAD GASOLINE/ANTIKNOCK  SLUDGES
26,2620,262029,"ASH AND RESIDUES CONTAINING MAINLY LEAD, NESOI"
26,2620,262030,"ASH AND RESIDUES NESOI, CONTAINING MAINLY COPPER"
26,2620,262040,"ASH AND RESIDUES NESOI, CONTAINING MAINLY ALUMINUM"
26,2620,262060,"ASH/RES CONT AS,HG, TL OR MIXTURES,FOR EXTRACTION"
26,2620,262091,"ASH&RESID OF SB, BE, CD, CR OR MIXTURES, NESOI"
26,2620,262099,"ASH AND RESIDUES NESOI, CONTAINING METALS NESOI"
26,2621,262110,ASH & RSDUS FROM INCINERATION OF MUNICIPAL WASTE
26,2621,262190,"ASH AND SLAG, INCLUDING SEAWEED ASH (KELP), NESOI"
27,2701,270111,"ANTHRACITE COAL, NOT AGGLOMERATED"
27,2701,270112,"BITUMINOUS COAL, NOT AGGLOMERATED"
27,2701,270119,"COAL NESOI, NOT AGGLOMERATED"
27,2701,270120,"BRIQUETTES, OVOIDS, SIMILAR SOLID FUELS FROM COAL"
27,2702,270210,"LIGNITE, NOT AGGLOMERATED, EXCLUDING JET"
27,2702,270220,"AGGLOMERATED LIGNITE, EXCLUDING JET"
27,2703,270300,"PEAT (INCLUDING PEAT LITTER), INCL AGGLOMRTD"
27,2704,270400,"COKE ETC OF COAL, LIGNITE OR PEAT; RETORT CARBON"
27,2705,270500,"COAL GS,WTR GS, PRDCR GS ETC, EX PET GS A OTH GS H"
27,2706,270600,"MINERAL TARS, INCLUDING RECONSTITUTED TARS"
27,2707,270710,BENZENE
27,2707,270720,TOLUENE
27,2707,270730,XYLENES
27,2707,270740,NAPHTHALENE
27,2707,270750,AROM HYDC NESOI 65PCT AO DSTLS A 250DC ASTM D 86
27,2707,270791,CREOSOTE OILS
27,2707,270799,OILS & PRODUCTS NESOI AS COAL TAR DISTILLATES ETC
27,2708,270810,PITCH FROM COAL AND OTHER MINERAL TARS
27,2708,270820,PITCH COKE FROM COAL AND OTHER MINERAL TARS
27,2709,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINERALS
27,2710,271012,"LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIODIESEL"
27,2710,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIODIESL
27,2710,271020,"PETROLEUM OILS AND PREPS CONTAINING BIODIESEL, ETC"
27,2710,271091,WASTE OIL CONT.POLYCHLORINA.BIPHENYL (PCB)/PCT/PBB
27,2710,271099,"WASTE OILS, NESOI"
27,2711,271111,"NATURAL GAS, LIQUEFIED"
27,2711,271112,"PROPANE, LIQUEFIED"
27,2711,271113,"BUTANES, LIQUEFIED"
27,2711,271114,"ETHYLENE, PROPYLENE, BUTYLENE, BUTADIENE LIQUEFIED"
27,2711,271119,"PETROLEUM GASES ETC., LIQUEFIED, NESOI"
27,2711,271121,"NATURAL GAS, GASEOUS"
27,2711,271129,"PETROLEUM GASES ETC., IN GASEOUS STATE, NESOI"
27,2712,271210,PETROLEUM JELLY
27,2712,271220,PARAFFIN WAX LESS THAN 0.75% OIL BY WEIGHT
27,2712,271290,"OTHER MINERAL WAXES, NESOI"
27,2713,271311,"PETROLEUM COKE, NOT CALCINED"
27,2713,271312,"PETROLEUM COKE, CALCINED"
27,2713,271320,PETROLEUM BITUMEN
27,2713,271390,RESIDUE OF PET OILS OR BITUMIN OILS NESOI
27,2714,271410,BITUMINOUS OR OIL SHALE AND TAR SANDS
27,2714,271490,"BITUMEN A ASPHALT, ASPHALTITES AND ASPHALTIC ROCKS"
27,2715,271500,"BIT MIX FR NAT ASPH, NAT BIT,PET BIT,MIN TAR OR PT"
27,2716,271600,ELECTRICAL ENERGY
28,2801,280110,CHLORINE
28,2801,280120,IODINE
28,2801,280130,FLUORINE; BROMINE
28,2802,280200,"SULFUR, SUBLIMED OR PRECIPITATED; COLLODIAL SULFUR"
28,2803,280300,"CARBON, NESOI (INCLUDING CARBON BLACK)"
28,2804,280410,HYDROGEN
28,2804,280421,ARGON
28,2804,280429,"RARE GASES, OTHER THAN ARGON"
28,2804,280430,NITROGEN
28,2804,280440,OXYGEN
28,2804,280450,BORON; TELLURIUM
28,2804,280461,SILICON CONTAIN BY WT NT < 99.99% OF SILICON
28,2804,280469,"SILICON, UNDER 99.99% (BY WEIGHT) SILICON"
28,2804,280470,PHOSPHORUS
28,2804,280480,ARSENIC
28,2804,280490,SELENIUM
28,2805,280511,SODIUM
28,2805,280512,CALCIUM
28,2805,280519,ALKALI METALS EXCEPT SODIUM
28,2805,280530,"RARE-EARTH METAL, SCANDIUM & YTTRIUM"
28,2805,280540,MERCURY
28,2806,280610,HYDROGEN CHLORIDE (HYDROCHLORIC ACID)
28,2806,280620,CHLOROSULFURIC ACID
28,2807,280700,SULFURIC ACID; OLEUM
28,2808,280800,"NITRIC ACID, SULFONITRIC ACIDS"
28,2809,280910,DIPHOSPHORUS PENTAOXIDE
28,2809,280920,PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS
28,2810,281000,OXIDES OF BORON; BORIC ACIDS
28,2811,281111,HYDROGEN FLUORIDE (HYDROFLUORIC ACID)
28,2811,281112,HYDROGEN CYANIDE (HYDROCYANIC ACID)
28,2811,281119,"INORGANIC ACIDS, NESOI"
28,2811,281121,CARBON DIOXIDE
28,2811,281122,SILICON DIOXIDE
28,2811,281129,"INORGANIC OXYGEN COMPOUNDS OF NONMETALS, NESOI"
28,2812,281211,CARBONYL DICHLORIDE (PHOSGENE)
28,2812,281212,PHOSPHORUS OXYCHLORIDE
28,2812,281213,PHOSPHORUS TRICHLORIDE
28,2812,281214,PHOSPHORUS PENTACHLORIDE
28,2812,281215,SULFUR MONOCHLORIDE
28,2812,281216,SULFUR DICHLORIDE
28,2812,281217,THIONYL CHLORIDE
28,2812,281219,"CHLORIDES AND CHLORIDE OXIDES, NESOI"
28,2812,281290,"HALIDES & HALIDE OXIDES OF NONMETALS, NESOI"
28,2813,281310,CARBON DISULFIDE
28,2813,281390,SULFIDES OF NONMETALS NESOI; COMM PHOSP TRISULFIDE
28,2814,281410,ANHYDROUS AMMONIA
28,2814,281420,AMMONIA IN AQUEOUS SOLUTION
28,2815,281511,"SODIUM HYDROXIDE (CAUSTIC SODA), SOLID"
28,2815,281512,SODIUM HYDROXIDE IN AQUEOUS SOLUTION
28,2815,281520,POTASSIUM HYDROXIDE (CAUSTIC POTASH)
28,2815,281530,PEROXIDES OF SODIUM OR POTASSIUM
28,2816,281610,MAGNESIUM HYDROXIDE AND MAGNESIUM PEROXIDE
28,2816,281640,"OXIDES, HYDROXIDES, & PEROXIDES OF STRONTIUM OR BA"
28,2817,281700,ZINC OXIDE AND ZINC PEROXIDE
28,2818,281810,"ARTIFICIAL CORUNDUM, WHETH/NOT CHEMICALLY DEFINED"
28,2818,281820,"ALUMINUM OXIDE, EXCEPT ARTIFICIAL CORUNDUM, NESOI"
28,2818,281830,ALUMINUM HYDROXIDE
28,2819,281910,CHROMIUM TRIOXIDE
28,2819,281990,"CHROMIUM OXIDE & HYDRIDE, EXC CHROM TRIOXIDE,NESOI"
28,2820,282010,MANGANESE DIOXIDE
28,2820,282090,"MANGANESE OXIDES, EXCEPT MANGANESE DIOXIDE, NESOI"
28,2821,282110,IRON OXIDES AND HYDROXIDES
28,2821,282120,EARTH COLOR CONT>= 70% BY WT COMBINE IRON AS FE2O3
28,2822,282200,COBALT OXIDE & HYDROXIDE; COMMERCIAL COBALT OXIDES
28,2823,282300,TITANIUM OXIDES
28,2824,282410,"LEAD MONOXIDE (LITHARGE, MASSICOT)"
28,2824,282490,"LEAD OXIDES, NESOI"
28,2825,282510,HYDRAZINE & HYDROXYLAMINE & THEIR INORGANIC SALTS
28,2825,282520,LITHIUM OXIDE AND HYDROXIDE
28,2825,282530,VANADIUM OXIDES AND HYDROXIDES
28,2825,282540,NICKEL OXIDES AND HYDROXIDES
28,2825,282550,COPPER OXIDES AND HYDROXIDES
28,2825,282560,GERMANIUM OXIDES AND ZIRCONIUM DIOXIDE
28,2825,282570,MOLYBDENUM OXIDES AND HYDROXIDES
28,2825,282580,ANTIMONY OXIDES
28,2825,282590,"INORGANIC BASE; METAL OXIDES, & PEROXIDES, NESOI"
28,2826,282612,FLUORIDES OF ALUMINUM
28,2826,282619,"FLUORIDES, NESOI"
28,2826,282630,SODIUM HEXAFLUOROALUMINATE (SYNTHETIC CRYOLITE)
28,2826,282690,"FLUOROALUMINATE & OTHER FLUORINE SALTS, NESOI, ETC"
28,2827,282710,AMMONIUM CHLORIDE
28,2827,282720,CALCIUM CHLORIDE
28,2827,282731,MAGNESIUM CHLORIDE
28,2827,282732,ALUMINUM CHLORIDE
28,2827,282735,NICKEL CHLORIDE
28,2827,282739,"CHLORIDES, NESOI"
28,2827,282741,CHLORIDE OXIDES AND CHLORIDE HYDROXIDES OF COPPER
28,2827,282749,"CHLORIDE OXIDES AND CHLORIDE HYDROXIDES, NESOI"
28,2827,282751,BROMIDES OF SODIUM OR OF POTASSIUM
28,2827,282759,"BROMIDES AND BROMIDE OXIDES, NESOI"
28,2827,282760,IODIDES AND IODIDE OXIDES
28,2828,282810,COMMERCIAL AND OTHER CALCIUM HYPOCHLORITES
28,2828,282890,"HYPOCHLORITES, CHLORITES, AND HYPOBROMITES, NESOI"
28,2829,282911,SODIUM CHLORATE
28,2829,282919,"CHLORATES, EXCEPT SODIUM CHLORATE, NESOI"
28,2829,282990,PERCHLORATES; BROMATES & PERBROM; IODATES & PERIOD
28,2830,283010,SODIUM SULFIDES
28,2830,283090,"SULFIDES AND POLYSULFIDES, NESOI"
28,2831,283110,DITHIONITES AND SULFOXYLATES OF SODIUM
28,2831,283190,"DITHIONITES & SULFOXYLATE, EXC OF SODIUM, NESOI"
28,2832,283210,SODIUM SULFITES
28,2832,283220,"SULFITES, EXCEPT SODIUM SULFITES, NESOI"
28,2832,283230,THIOSULFATES
28,2833,283311,DISODIUM SULFATE
28,2833,283319,"SODIUM SULFATES, EXCEPT DISODIUM SULFATES, NESOI"
28,2833,283321,MAGNESIUM SULFATE
28,2833,283322,ALUMINUM SULFATE
28,2833,283324,NICKEL SULFATE
28,2833,283325,COPPER SULFATE
28,2833,283327,BARIUM SULFATE
28,2833,283329,"SULFATES, NESOI"
28,2833,283330,ALUMS
28,2833,283340,PEROXOSULFATES (PERSULFATES)
28,2834,283410,NITRITES
28,2834,283421,POTASSIUM NITRATE
28,2834,283429,"NITRATES, NESOI"
28,2835,283510,PHOSPHINATES (HYPOPHOSPHITES) & PHOSPHONATES
28,2835,283522,MONO- OR DISODIUM PHOSPHATES
28,2835,283524,POTASSIUM PHOSPHATE
28,2835,283525,CALCIUM HYDROGENORTHOPHOSPHATE (DICALC PHOSPHATE)
28,2835,283526,"PHOSPHATES OF CALCIUM, NESOI"
28,2835,283529,"PHOSPHATES, NESOI"
28,2835,283531,SODIUM TRIPHOSPHATE (SODIUM TRIPOLYPHOSPHATE)
28,2835,283539,"POLYPHOSPHATES, NESOI"
28,2836,283620,DISODIUM CARBONATE
28,2836,283630,SODIUM HYDROGENCARBONATE (SODIUM BICARBONATE)
28,2836,283640,POTASSIUM CARBONATES
28,2836,283650,CALCIUM CARBONATE
28,2836,283660,BARIUM CARBONATE
28,2836,283691,LITHIUM CARBONATES
28,2836,283692,STRONTIUM CARBONATE
28,2836,283699,CARBONATES NESOI; PEROXOCARBONATES
28,2837,283711,CYANIDES AND CYANIDE OXIDES OF SODIUM
28,2837,283719,"CYANIDES AND CYANIDE OXIDES, NESOI"
28,2837,283720,COMPLEX CYANIDES
28,2839,283911,SODIUM METASILICATES
28,2839,283919,"SILICATE OF SODIUM, EXC SODIUM METASILICATE, NESOI"
28,2839,283990,"SILICATE; COMMERCIAL ALKALI METAL SILICATES, NESOI"
28,2840,284011,ANHYDROUS DISODIUM TETRABORATE (REFINED BORAX)
28,2840,284019,"DISODIUM TETRABORATE, EXC ANHYDROUS, NESOI"
28,2840,284020,"BORATES, NESOI"
28,2840,284030,PEROXOBORATES (PERBORATES)
28,2841,284130,SODIUM DICHROMATE
28,2841,284150,"CHROMATES & DICHROMATES, NESOI; PEROXOCHROMATES"
28,2841,284161,POTASSIUM PERMANGANATE
28,2841,284169,"MANGANITES, MANGANATES AND PERMANGANATES, NESOI"
28,2841,284170,MOLYBDATES (MOLYBDENUM CONTENT)
28,2841,284180,TUNGSTATES (WOLFRAMATES)
28,2841,284190,SALTS OF OXOMETALLIC OR PEROXOMETALLIC ACIDS NESOI
28,2842,284210,DOUBLE OR COMPLEX SILICATES
28,2842,284290,"SALT OF INORGANIC ACID/PEROXOACID, EXC AZIDE NESOI"
28,2843,284310,COLLOIDAL PRECIOUS METALS
28,2843,284321,SILVER NITRATE
28,2843,284329,"SILVER COMPOUNDS, EXCEPT SILVER NITRATE, NESOI"
28,2843,284330,GOLD COMPOUNDS
28,2843,284390,"ORGANIC COMPOUND PRECIOUS METAL; AMALGRAMS, NESOI"
28,2844,284410,"NATURAL URANIUM & COMPOUNDS, ALLOYS & CERAMICS ETC"
28,2844,284420,URANIUM ENRICHED IN U235 ETC. PLUTONIUM ETC.
28,2844,284430,URANIUM DEPLETED IN U235 ETC; THORIUM ETC.
28,2844,284440,RADIOACTIVE ELEMENTS & ISOTOPES ETC NESOI; RESIDUE
28,2844,284450,SPENT FUEL ELEMENT (CARTRIDGE) OF NUCLEAR REATORS
28,2845,284510,HEAVY WATER (DEUTERIUM OXIDE)
28,2845,284590,"STABLE ISOTOPES, COMPOUNDS THEREOF, NESOI"
28,2846,284610,CERIUM COMPOUNDS
28,2846,284690,"COMPOUNDS, INORGAN/ORGAN, RARE-EARTH METALS, NESOI"
28,2847,284700,HYDROGEN PEROXIDE
28,2849,284910,"CARBIDES OF CALCIUM, CHEMICALLY DEFINED OR NOT"
28,2849,284920,"CARBIDES OF SILICON, CHEMICALLY DEFINED OR NOT"
28,2849,284990,"CARBIDES, NESOI, CHEMICALLY DEFINED OR NOT"
28,2850,285000,HYDRIDS/NITRIDS/AZIDS/SILICIDS ETC W/NT CHEM DEFND
28,2852,285210,MERCURY COMPOUND CHEM DEFINED IN/ORGANIC NT AMALGM
28,2852,285290,MERCURY COMP IN/ORGANIC EXC AMALGAMS NT CHEM DEFIN
28,2853,285310,CYANOGEN CHLORIDE (CHLORCYAN)
28,2853,285390,OTHER INORG CMPDS;LQ/CMPRSD AIR;AMALG EXC PREC MET
29,2901,290110,"ACYCLIC HYDROCARBONS, SATURATED"
29,2901,290121,ETHYLENE (ETHENE)
29,2901,290122,PROPENE (PROPYLENE)
29,2901,290123,BUTENE (BUTYLENE) AND ISOMERS THEREOF
29,2901,290124,"BUTA-1, 3-DIENE AND ISOPRENE"
29,2901,290129,"ACYCLIC HYDROCARBONS, UNSATURATED NESOI"
29,2902,290211,CYCLOHEXANE
29,2902,290219,"CYCLANES, CYCLENES AND CYCLOTERPENES NESOI"
29,2902,290220,BENZENE
29,2902,290230,TOLUENE
29,2902,290241,ORTHO-XYLENE
29,2902,290242,META-XYLENE
29,2902,290243,PARA-XYLENE
29,2902,290244,MIXED XYLENE ISOMERS
29,2902,290250,STYRENE
29,2902,290260,ETHYLBENZENE
29,2902,290270,CUMENE
29,2902,290290,"CYCLIC HYDROCARBONS, NESOI"
29,2903,290311,CHLOROMETHANE AND CHLOROETHANE
29,2903,290312,DICHLOROMETHANE (METHYLENE CHLORIDE)
29,2903,290313,CHLOROFORM
29,2903,290314,CARBON TETRACHLORIDE
29,2903,290315,"1,2-DICHLOROETHANE (ETHYLENE DICHLORIDE)"
29,2903,290319,SATURATED CHLOR DERIV OF ACYCLIC HYDROCARBON NESOI
29,2903,290321,VINYL CHLORIDE (CHLOROETHYLENE)
29,2903,290322,TRICHLOROETHYLENE
29,2903,290323,TETRACHLOROETHYLENE (PERCHLOROETHYLENE)
29,2903,290329,UNSAT CHLORIN DERIV OF ACYCLIC HYDROCARBONS NESOI
29,2903,290331,"ETHYLENE DIBROMIDE (1,2-DIBROMOETHANE)"
29,2903,290339,ACETYLENE TETRABRMD;ALKL BRMD;METHYLENE DIBRMD;ETC
29,2903,290371,CHLORODIFLUOROMETHANE
29,2903,290372,DICHLOROTRIFLUOROETHANES
29,2903,290373,DICHLOROFLUOROETHANES
29,2903,290374,CHLORODIFLUOROETHANES
29,2903,290375,DICHLOROPENTAFLUOROPROPANES
29,2903,290376,BROMOCHLORODIFLUOROMETHANE BROMOTRIFLUOROMETHA ETC
29,2903,290377,"PERHALOGEN DERIV ACYCLIC HYD W/ FLUORINE, CHLORINE"
29,2903,290378,PERHALOGEN DERIV ACYCLIC HYDROCARB 2 OR MORE NESOI
29,2903,290379,HALOGEN DERIV ACYCLIC HYDROC 2 OR MORE DIFF NESOI
29,2903,290381,"1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE, INCLUD LINDANE"
29,2903,290382,"ALDRIN, CHLORDANE AND HEPTACHLOR"
29,2903,290383,MIREX (ISO)
29,2903,290389,"HALOGEN DERIV CYCLANIC, CYCLENIC ETC HYDROC NESOI"
29,2903,290391,"CHLOROBENZENE, O- AND P-DICHLOROBENZENE"
29,2903,290392,HEXACHLOROBENZENE AND DDT
29,2903,290393,PENTACHLOROBENZENE (ISO)
29,2903,290394,HEXABROMOBIPHENYLS
29,2903,290399,"HALOGENATED DERIV OF AROMATIC HYDROCARBONS, NESOI"
29,2904,290410,"HYDROCARBON DERIV CONT ONLY SULFO GROUPS, ETC"
29,2904,290420,"HYDROCARBON DERIVATIVES, NITRO OR NITROSO GR ONLY"
29,2904,290431,PERFLUOROOCTANE SULFONIC ACID
29,2904,290432,AMMONIUM PERFLUOROOCTANE SULFONATE
29,2904,290433,LITHIUM PERFLUOROOCTANE SULFONATE
29,2904,290434,POTASSIUM PERFLUOROOCTANE SULFONATE
29,2904,290435,OTHER SALTS OF PERFLUOROOCTANE SULFONIC ACID
29,2904,290436,PERFLUOROOCTANE SULFONYL FLUORIDE
29,2904,290491,TRICHLORONITROMETHANE (CHLOROPICRIN)
29,2904,290499,"SULFNTED,NITRATD,NITROSATD DERIVS OF HYDROCBNS,NES"
29,2905,290511,METHANOL (METHYL ALCOHOL)
29,2905,290512,PROPYL ALCOHOL AND ISOPROPYL ALCOHOL
29,2905,290513,BUTAN-1-OL (N-BUTYL ALCOHOL)
29,2905,290514,"BUTANOLS, NESOI"
29,2905,290516,OCTANOL (OCTYL ALCOHOL) AND ISOMERS THEREOF
29,2905,290517,"LAURYL ALCOHOL, CETYL ALCOHOL AND STEARYL ALCOHOL"
29,2905,290519,"SATURATED MONOHYDRIC ALCOHOLS, NESOI"
29,2905,290522,UNSATURATED ACYCLIC TERPENE ALCOHOLS
29,2905,290529,UNSATURATED MONOHYDRIC ALCOHOLS NESOI
